"Family","Variable","Overall (N=422)","Continuers (n=307)","Stoppers (n=115)","p (uncorr)","p (FDR)","Sig","Effect Size [95% CI]","Interpretation"
"Sleep_Adverse","    Never","368 (87.2%)","267 (87.0%)","101 (87.8%)","","","","",""
"Sleep_Adverse","    <1 day/week","20 (4.7%)","16 (5.2%)","4 (3.5%)","","","","",""
"Sleep_Adverse","    1-3 days/week","8 (1.9%)","5 (1.6%)","3 (2.6%)","","","","",""
"Sleep_Adverse","    4-6 days/week","5 (1.2%)","4 (1.3%)","1 (0.9%)","","","","",""
"Sleep_Adverse","    7 days/week","21 (5.0%)","15 (4.9%)","6 (5.2%)","","","","",""
"Sleep_Adverse","melatonin_use","","","","0.055","0.109","","V = 0.15 [0.06, 0.24]","Small"
"Sleep_Adverse","    Never","321 (76.1%)","245 (79.8%)","76 (66.1%)","","","","",""
"Sleep_Adverse","    <1 day/week","29 (6.9%)","17 (5.5%)","12 (10.4%)","","","","",""
"Sleep_Adverse","    1-3 days/week","13 (3.1%)","8 (2.6%)","5 (4.3%)","","","","",""
"Sleep_Adverse","    4-6 days/week","19 (4.5%)","13 (4.2%)","6 (5.2%)","","","","",""
"Sleep_Adverse","    7 days/week","40 (9.5%)","24 (7.8%)","16 (13.9%)","","","","",""
"Sleep_Adverse","op_sleep","","","","0.815","0.892","","V = 0.06 [0.00, 0.16]","Negligible"
"Sleep_Adverse","    Never","415 (98.3%)","301 (98.0%)","114 (99.1%)","","","","",""
"Sleep_Adverse","    <1 day/week","2 (0.5%)","2 (0.7%)","0 (0.0%)","","","","",""
"Sleep_Adverse","    1-3 days/week","2 (0.5%)","2 (0.7%)","0 (0.0%)","","","","",""
"Sleep_Adverse","    4-6 days/week","0 (0.0%)","0 (0.0%)","0 (0.0%)","","","","",""
"Sleep_Adverse","    7 days/week","3 (0.7%)","2 (0.7%)","1 (0.9%)","","","","",""
"Sleep_Adverse","stop_wdl_exp_combined","","","","< .001","< .001","***","V = 0.25 [0.16, 0.34]","Small"
"Sleep_Adverse","    No withdrawal","97 (22.9%)","55 (18.0%)","42 (36.2%)","","","","",""
"Sleep_Adverse","    Insomnia only","174 (41.1%)","133 (43.2%)","41 (35.6%)","","","","",""
"Sleep_Adverse","    Anxiety only","9 (2.1%)","4 (1.2%)","5 (4.4%)","","","","",""
"Sleep_Adverse","    Other MH symptoms only","2 (0.5%)","1 (0.4%)","1 (0.9%)","","","","",""
"Sleep_Adverse","    Physical symptoms only","3 (0.8%)","1 (0.4%)","2 (1.8%)","","","","",""
"Sleep_Adverse","    Multiple symptoms","138 (32.6%)","113 (36.9%)","24 (21.1%)","","","","",""
"Sleep_Adverse","wdl_symptom_count","1.22 (0.97)","1.31 (0.94)","0.97 (0.99)","0.001","0.004","**","d = -0.36 [-0.58, -0.15]","Small"
"Beliefs_COMB","benefitsC","3.80 (0.71)","3.82 (0.68)","3.74 (0.78)","0.297","0.396","","d = -0.12 [-0.34, 0.09]","Negligible"
"Beliefs_COMB","side_effectsC","2.23 (0.72)","2.17 (0.64)","2.41 (0.88)","0.010","0.016","*","d = +0.34 [0.12, 0.55]","Small"
"Beliefs_COMB","adlsC","1.89 (0.88)","1.79 (0.79)","2.17 (1.04)","< .001","0.001","**","d = +0.44 [0.23, 0.66]","Small"
"Beliefs_COMB","dependenceC","3.29 (0.94)","3.41 (0.89)","2.97 (0.99)","< .001","< .001","***","d = -0.48 [-0.70, -0.26]","Small"
"Beliefs_COMB","motivationC","2.79 (0.96)","2.88 (0.96)","2.55 (0.92)","0.001","0.003","**","d = -0.35 [-0.57, -0.14]","Small"
"Beliefs_COMB","capabilityC","3.07 (1.08)","2.82 (0.99)","3.73 (1.01)","< .001","< .001","***","d = +0.92 [0.70, 1.14]","Large"
"Beliefs_COMB","pharmacistC","2.86 (0.62)","2.84 (0.58)","2.91 (0.70)","0.353","0.403","","d = +0.12 [-0.10, 0.33]","Negligible"
"Beliefs_COMB","prescriberC","2.85 (0.83)","2.87 (0.80)","2.80 (0.90)","0.501","0.501","","d = -0.08 [-0.30, 0.13]","Negligible"
"Personality","BFI_Extraversion","3.22 (1.03)","3.19 (1.05)","3.30 (0.99)","0.386","0.593","","d = +0.10 [-0.12, 0.31]","Negligible"
"Personality","BFI_Agreeableness","3.84 (0.84)","3.81 (0.86)","3.90 (0.76)","0.364","0.593","","d = +0.10 [-0.12, 0.31]","Negligible"
"Personality","BFI_Conscientiousness","4.18 (0.81)","4.18 (0.83)","4.19 (0.77)","0.958","0.958","","d = +0.01 [-0.21, 0.22]","Negligible"
"Personality","BFI_Neuroticism","2.89 (1.05)","2.92 (1.07)","2.82 (0.99)","0.383","0.593","","d = -0.10 [-0.31, 0.12]","Negligible"
"Personality","BFI_Openness","3.58 (0.89)","3.53 (0.88)","3.72 (0.90)","0.073","0.209","","d = +0.22 [0.00, 0.43]","Small"
"Personality","SURPS_Impulsivity","2.00 (0.47)","2.00 (0.47)","2.00 (0.49)","0.873","0.958","","d = -0.02 [-0.23, 0.20]","Negligible"
"Personality","SURPS_Sensation_Seeking","1.99 (0.49)","1.96 (0.49)","2.07 (0.46)","0.057","0.209","","d = +0.21 [-0.00, 0.43]","Small"
"Personality","SURPS_Hopelessness","2.01 (0.48)","2.04 (0.47)","1.94 (0.51)","0.074","0.209","","d = -0.20 [-0.42, 0.01]","Small"
"Personality","SURPS_Anxiety_Sensitivity","2.59 (0.49)","2.61 (0.48)","2.54 (0.50)","0.188","0.400","","d = -0.15 [-0.37, 0.06]","Negligible"
"Personality","DBAS_Consequences","6.11 (1.95)","6.24 (1.86)","5.77 (2.14)","0.045","0.209","","d = -0.24 [-0.46, -0.03]","Small"
"Personality","DBAS_Worry_Helplessness","5.53 (1.93)","5.58 (1.86)","5.39 (2.13)","0.419","0.593","","d = -0.10 [-0.31, 0.12]","Negligible"
"Personality","DBAS_Expectations","6.22 (2.27)","6.17 (2.25)","6.36 (2.33)","0.461","0.603","","d = +0.08 [-0.13, 0.30]","Negligible"
"Personality","DBAS_Medications","5.63 (1.96)","6.00 (1.68)","4.64 (2.29)","< .001","< .001","***","d = -0.73 [-0.95, -0.51]","Medium"
"Personality","DBAS_Total","5.89 (1.56)","6.02 (1.46)","5.54 (1.75)","0.010","0.085","","d = -0.31 [-0.53, -0.10]","Small"
"Personality","CISS_Task","3.71 (0.64)","3.71 (0.65)","3.70 (0.61)","0.901","0.958","","d = -0.01 [-0.23, 0.20]","Negligible"
"Personality","CISS_Emotion","2.77 (0.79)","2.81 (0.80)","2.67 (0.76)","0.122","0.297","","d = -0.17 [-0.39, 0.04]","Negligible"
"Personality","CISS_Avoidance","2.82 (0.74)","2.82 (0.74)","2.83 (0.75)","0.910","0.958","","d = +0.01 [-0.20, 0.23]","Negligible"
