term,OR_CI_full,OR_CI_overlap,OR_CI_Bonly,OR_CI_clean
capabilityC,"2.36 [1.70, 3.29]","2.71 [1.87, 3.94]","3.17 [2.11, 4.76]","4.34 [2.60, 7.24]"
side_effectsC,"1.75 [1.21, 2.53]","1.72 [1.14, 2.58]","2.27 [1.49, 3.46]","2.39 [1.46, 3.92]"
