term,OR_full,OR_CI_full,p_full,OR_clean,OR_CI_clean,p_clean,separation_flag,m_converged,OR_change_pct,Sig_full,Sig_clean,Robustness
DBAS_Medications,0.6855139864646679,"0.69 [0.59, 0.80]",3.2381329496214075e-6,0.522292040694962,"0.52 [0.43, 0.64]",1.4257161336433315e-10,FALSE,23,-23.8,TRUE,TRUE,Robust (remains significant)
SURPS_Hopelessness,0.7064155226255036,"0.71 [0.39, 1.28]",0.2526801367869527,0.472886981394074,"0.47 [0.22, 1.00]",0.05126675974777418,FALSE,23,-33.1,FALSE,FALSE,Both non-significant
CISS_Emotion,0.8960330899973048,"0.90 [0.61, 1.31]",0.5732060492338229,0.8322213943411891,"0.83 [0.53, 1.32]",0.43419150641187204,FALSE,23,-7.1,FALSE,FALSE,Both non-significant
DBAS_Consequences,1.0455292091921478,"1.05 [0.90, 1.21]",0.5499691899786114,1.1231989311416077,"1.12 [0.95, 1.33]",0.1868047463360456,FALSE,23,7.4,FALSE,FALSE,Both non-significant
BFI_Neuroticism,1.002803049309417,"1.00 [0.75, 1.33]",0.98453417817247,0.9059658536790339,"0.91 [0.64, 1.29]",0.5815974500998646,FALSE,23,-9.7,FALSE,FALSE,Both non-significant
SURPS_Sensation_Seeking,1.4831081830507589,"1.48 [0.89, 2.47]",0.13016725045142907,1.8598532326136559,"1.86 [1.01, 3.42]",0.04611100481363738,FALSE,23,25.4,FALSE,TRUE,Gains significance
