"variable","VIF"
"stop_wdl_exp_combined",6.61685001453995
"wdl_symptom_count",6.49803186112375
"n_ment_conditions",1.59332834319921
"phq2_score",1.53010821797379
"n_physical_conditions",1.4450858173146
"med_quant",1.35748881707341
"n_sleep_conditions",1.20740659391347
"fall2",1.14140736785676
"alc_sleep",1.06502566236019
"prov_terr",1.06105191505448
"sex",1.05766056876223
"education",1.05712118531363
"can_sleep",1.0545720481135
"melatonin_use",1.04183496862323
"op_sleep",1.03277777200679
