"Variable","Class","N_Complete","N_Missing","Pct_Missing","Domain"
"freq_dich","numeric",422,0,0,"OUTCOME"
"age","numeric",422,0,0,"Demographics"
"sex","numeric",422,0,0,"Demographics"
"prov_terr","numeric",422,0,0,"Demographics"
"education","numeric",422,0,0,"Demographics"
"employment","numeric",421,1,0.2,"Demographics"
"driving_freq","numeric",383,39,9.2,"Demographics"
"income","numeric",413,9,2.1,"Demographics"
"phq2_score","numeric",422,0,0,"Clinical: Health"
"osss_3_score","numeric",421,1,0.2,"Clinical: Health"
"gen_health","ordered/factor",422,0,0,"Clinical: Health"
"med_quant","numeric",422,0,0,"Clinical: Health"
"c_lengthofuse","numeric",421,1,0.2,"Clinical: Length of Use"
"fall2","numeric",422,0,0,"Clinical: Falls"
"n_health_conditions","numeric",422,0,0,"Clinical: Condition Counts"
"n_physical_conditions","numeric",422,0,0,"Clinical: Condition Counts"
"n_ment_conditions","numeric",422,0,0,"Clinical: Condition Counts"
"n_sleep_conditions","numeric",422,0,0,"Clinical: Condition Counts"
"alc_sleep","numeric",422,0,0,"Behavioural: Sleep Aids"
"can_sleep","numeric",422,0,0,"Behavioural: Sleep Aids"
"melatonin_use","numeric",422,0,0,"Behavioural: Sleep Aids"
"op_sleep","numeric",422,0,0,"Behavioural: Sleep Aids"
"bzra_daily_diazepam_eq","numeric",412,10,2.4,"Clinical: BZRA Dose"
"bzra_weekly_diazepam_eq","numeric",412,10,2.4,"Clinical: BZRA Dose"
"benefit_1","numeric",380,42,10,"Beliefs: Benefits"
"benefit_4","numeric",378,44,10.4,"Beliefs: Benefits"
"benefit_5","numeric",379,43,10.2,"Beliefs: Benefits"
"benefit_6","numeric",378,44,10.4,"Beliefs: Benefits"
"side_effects_1","numeric",379,43,10.2,"Beliefs: Side Effects"
"side_effects_2","numeric",378,44,10.4,"Beliefs: Side Effects"
"side_effects_3","numeric",378,44,10.4,"Beliefs: Side Effects"
"side_effects_4","numeric",371,51,12.1,"Beliefs: Side Effects"
"adls_1","numeric",371,51,12.1,"Beliefs: ADL Impact"
"adls_2","numeric",370,52,12.3,"Beliefs: ADL Impact"
"dependence_1","numeric",369,53,12.6,"Beliefs: Dependence"
"dependence_2","numeric",367,55,13,"Beliefs: Dependence"
"dependence_3","numeric",367,55,13,"Beliefs: Dependence"
"motivation_1","numeric",367,55,13,"COM-B: Motivation"
