Model,Description,VSURF_Set,N_Predictors,EPV,EPV_status,AUC
Model A,Personality VSURF interpretation set,Interpretation (Step 2),6,19.2,✓ Adequate (≥10),"0.705 [0.645, 0.763]"
Model B,Full VSURF interpretation set,Interpretation (Step 2),9,12.8,✓ Adequate (≥10),"0.793 [0.742, 0.842]"
