"Step","N","N_Excluded","Pct_Retained"
"1. Initial sample",422,NA,100
"2. Age ≥65 years",422,0,100
"3. BZRA use confirmed",422,0,100
"4. Outcome available",422,0,100
"5. Canadian resident",422,0,100
"FINAL SAMPLE",422,NA,100
