Model,VSURF_Set,N_Predictors,Apparent_AUC,CV_AUC,Optimism,Interpretation
Model A (Personality),Interpretation (Step 2),6,"0.705 [0.645, 0.763]","0.680 [0.618, 0.740]",0.025,Moderate (0.02–0.05) — acceptable generalisability
Model B (Full),Interpretation (Step 2),9,"0.793 [0.742, 0.842]","0.747 [0.691, 0.801]",0.047,Moderate (0.02–0.05) — acceptable generalisability
