Model,Description,N_MI,N_CC,MI_AUC,CC_AUC,AUC_Diff
Model A,Personality interpretation set,422,344,"0.695 [0.633, 0.755]","0.728 [0.663, 0.791]",0.032
Model B,Full interpretation set,422,344,"0.791 [0.739, 0.841]","0.813 [0.751, 0.868]",0.021
