Model,N_Influential,Pct_Influential,Pct_Discontinued,Scenario,Robust_Predictors
Model A (Personality),25,5.9%,100.0%,SCENARIO 1: Coherent clinical subgroup (>= 75% predictors flagged),1 / 5
Model B (Full),26,6.2%,76.9%,SCENARIO 1: Coherent clinical subgroup (>= 75% predictors flagged),6 / 8
